,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
0,"[u'Btech: Food Technology', u'National Diploma: Food Technology', u'Senior Certificate']","[u'Cape Herb & Spice', u'Greys Marine', u'Heinz Foods', u'Swift Silliker', u'Zemcor']","[u'Food technologist', u'New product development', u'auditor', u'inspections']","[u'Marketer & Technical Liaison', u'Quality Assurance Manager Haccp Team Leader', u'New Product Developer Technologist', u'Food Technologist', u'Quality Controller']",Senior Food Technologist,"[u'Food Technologist', u'Product Specialist Microbiology']","[u'Microbiology', u'microsoft powerpoint', u'microsoft office', u'microsoft excel', u'microsoft project management', u'Microsoft word', u'Outlook', u'Internet explorer', u'Marketing/Sales', u'Quality Control', u'Quality Assurance', u'Research and development', u'Problem solving']",1
1,"[u'B.Econ', u'Grade 12/Matric']","[u'Careerjunction', u'Gijima', u'Lateral Dynamics', u'Leisurebooks', u'Mixtelematics', u'Private', u'Return True']",[],"[u'Senior Developer', u'Senior Developer', u'Senior Developer', u'Senior Developer SNR Developer', u'Senior Developer']",Senior Developer,"[u'Senior Developer', u'Senior Developer']","[u'MVC5', u'JQuery', u'C#', u'BootStrap', u'REST Services', u'EntityFrameWork 6', u'SQL Databse Development', u'SSRS', u'SSIS']",2
2,"[u'Bsc in Computer Systems', u'Higher National Diploma in Information Technology', u'Senior Certificate']","[u'Bruce Records Studio', u'Crystal MAP']","[u'Web Developer', u'Application Developer', u'C# Developer']",[],Social Manager,[u'Junior Developer'],"[u'C# Developer', u'MYSQL', u'PHP', u'javascript', u'CSS3', u'HTML5', u'wordpress', u'AJAX', u'RDBMS', u'Magento', u'C++ Developer', u'JAVA Developer']",3
3,[u'Advanced Diploma In Computer Science'],"[u'Dynamic Data', u'Exor Petroleum']",[],[],Database Developer Application Programmer,[u'Programmer Technician'],"[u'Programming', u'Technical Support']",4
4,[u'Mobile develipment'],[u'MCA Consulting'],[u'Analyst'],[],Analyst Developer,[],"[u'Java', u'delphi', u'Excel', u'excel', u'Bloomberg']",5
5,"[u'Btech', u'National Diploma in IT']","[u'Accenture', u'HSRC']","[u'Software Tester', u'Business Analyst', u'Developer']",[],Systems Developer,[u'Intern'],"[u'communication skills', u'Microsoft office', u'MVC', u'JavaScript', u'css', u'codeigniter', u'html', u'PHP', u'Microsoft excel', u'Photoshop', u'java']",6
6,"[u'Architecting on AWS (Associate)', u'AWS Technical Essentials', u'National Diploma (Information Technology) - Incomplete', u'Standard Java Specialist Course', u'Fundamentals Of Ms Visual Basic 6', u'Mastering Web Application Development Using Ms Vi6', u'A+', u'Grade 10']","[u'Nu-Era Tool &amp; DIE', u'ICM International', u'Saon Group', u'Careerjunction', u'Ipulse Systems', u'Genox', u'Commuter Transport Engineering', u'Fastnet (Telkom)']","[u'Software Architect', u'Python Developer', u'Senior Python Developer']","[u'Senior Developer', u'Senior Developer', u'Developer', u'Developer', u'Web Development', u'System Administrator', u'Apprentice Toolmaker']",Senior Developer,"[u'Senior Python Developer', u'Systems Developer']","[u'PHP', u'SQL', u'Javascript', u'Linux', u'Python', u'PostgreSQL', u'AWS', u'Embedded Linux', u'GIT', u'SOA', u'HA Proxy', u'Gerrit', u'Sentry', u'C', u'.Net', u'AWS RDS', u'Java SE', u'Java ME', u'C#', u'MySQL', u'MS SQL Server', u'EC2']",7
7,"[u'Honours Bachelor of Science in statistics', u'Bsc']","[u'Experian', u'Statistics South Africa', u'University of South Africa (UNISA)']","[u'Analyst', u'Data Analyst', u'Test Analyst', u'Test Management']","[u'Academic and Research Assistant', u'Assistant Statistical Officer']",Principal System Developer,"[u'Quality Assurance Test Analyst', u'Survey Statistician']","[u'Test Management', u'sas', u'Open Office', u'Microsoft Office', u'Project Management', u'SQL']",8
8,"[u'Van Zyl And Pritchard Passed With A Symbol', u'B.Sc', u'Matric Exemption']","[u'Bull Computers', u'Comparex Africa', u'Liberty Life', u'The Empl Bureau of Africa']",[],[u'Computer Programmer'],Software Developer,"[u'Programmer', u'Programmer']","[u'Adabas', u'Debugging', u'Natural', u'jcl', u'Cobol', u'Unix']",9
9,"[u'Technical Support', u'Matric']","[u'Old mutual', u'Secondary school']",[u'IT Support Assistant'],[],Intern Developer,[u'Administrator PA'],"[u'Emails', u'reviews', u'files', u'Typing', u'Personally to adapt', u'Ambitious', u'Computer literacy']",10
10,[u'BA'],"[u'Beauty Craft', u'Dave X Labs', u'Linq Hair Care', u'Self', u'Self- Www.Beachwatch.Co.Za', u'Sexy Hair Concepts']",[u'Business development manager'],"[u'Sales and Marketing Director', u'Mid West Regional Sales Director', u'Sales Consultant', u'Junior Sales Consultant']",Developer,"[u'Managing Director', u'Mid West Sales Director']","[u'Word, Excel, Power Point']",11
11,"[u'Oracle 10g Database Administrator Oca', u'Oracle Database Sql Expert', u'Information Technology', u'Computer Literacy', u'Matric']","[u'Adapt IT', u'Bauer & Partners', u'Berea Technical College', u'Conference Communications', u'DA House Internet Cafe', u'South African Revenue Service (SARS)', u'TMT Services']","[u'Database Developer', u'Oracle Apex Developer', u'Database Analyst', u'Oracle Apex Developer', u'Database Analyst']","[u'Technician', u'Imaging Technician', u'Technician', u'Host']",Oracle Apex Developer,"[u'Call Center Agent', u'Oracle DBA']","[u'Oracle Pl/Sql', u'Database Desing, Implementation And Management', u'Oracle Sql', u'Computer Skills (Hardware, Software, Networking)', u'Microsoft Sql Server', u'Graphic Design', u'Sound Systems', u'C#']",12
12,[u'software development diploma'],"[u'Elcb', u'Real People']",[u'Software developer'],[],Developer,[u'Programmer'],"[u'Analitcal skills', u'Mentoring new developers', u'Problem sloving', u'C#', u'reporting', u'MS SQL', u'ssis', u'Training', u'Testing', u'ASP.NET', u'MVC', u'JAVASCRIPT', u'CSS']",13
13,"[u'Bsc Computer Science And Information Systems', u'Grade 12']","[u'Nimbletech', u'Saab Grintek Defence']","[u'java programmer', u'computer science']",[],Junior Java Developer,[u'Graduate Software Engineer'],"[u'Java Developer', u'Java Programming(SE & EE)', u'Mysql', u'Network connectivity,FTP,TCP', u'css', u'html', u'vaadin', u'jsp', u'javascript', u'hibernate', u'python', u'C#', u'jason', u'ajax', u'.NET']",14
14,"[u'BTech Degree - ICT', u'National Diploma']","[u'Anglo American Platinum', u'Gijima', u'ICT Worx']","[u'Software Developer', u'Business Analyst', u'Business Systems Analyst', u'Software Architect']",[],Business Analyst,"[u'Java Developer Intern', u'Field Support Engineer']","[u'ASP .NET \uf06c', u'java', u'Oracle \uf06c', u'Gradle \uf06c', u'Microsoft Office', u'CSS', u'Visual paradigm', u'Microsoft Visio']",15
15,[u'National Diploma Computer Science & Systems Engineering'],"[u'Emid', u'KPMG']",[u'Senior Developer'],[],Senior Developer,[u'Senior Developer'],"[u'Software Development', u'Data', u'Project management', u'Analytics', u'SQL']",16
16,"[u'BSc Infomatics', u'MCSD']","[u'Carab Tekniva', u'TV Buddies']","[u'junior software developer', u'Intermediate Developer']",[],Junior Digitilization Developer,[u'Technician'],"[u'Java', u'VBA', u'C#', u'Javascript', u'Excel', u'html', u'MVC', u'css', u'.NET', u'SQL', u'Python', u'C++', u'Rapid Prototyping', u'Communication', u'Leadership', u'Meeting deadlines', u'Customer servece', u'PHP']",17
17,"[u'B.Sc', u'Senior Certificate']","[u'Aircom International', u'Telkom']",[u'Software Developer'],[],Senior Software Developer,[u'Software Developer'],"[u'SQL', u'Pl/Sql', u'Oracle', u'Pro C', u'PHP', u'Unix', u'Python', u'Borland C++']",18
18,"[u'Certified ScrumMaster (CSM)', u'Business Analysis Diploma']","[u'Accenture', u'Avanade', u'BSI Steel', u'DVT', u'investec', u'Private Practice', u'Standard Bank of (Sbsa)']","[u'BI Consultant', u'BI Architect']","[u'BI Developer', u'BI Consultant', u'BI Specialist', u'Senior Business Process Analyst']",Independent Consultant,"[u'Microsoft Senior BI Developer', u'BI Consultant']","[u'Detailed', u'quick learner', u'methodical', u'analytical', u'See attached CV']",19
19,"[u'Project Management', u'Vb 6 Programming']","[u'Council for Scientific & Industrial Research (CSIR)', u'Debisit', u'El-Ozi', u'Faranani IT Services', u'Self']",[],"[u'Technician', u'Call Center', u'Consultant', u'Junior Developer and Technical Support']",Systems and Applications Support Analyst,"[u'Project Manager', u'Field Support Technician']","[u'Microsoft Office', u'Computer Hardware', u'Troubleshooting', u'Configuration Management', u'Database Administration', u'Backup', u'Operating Systems', u'Problem Solving', u'Networking', u'Change Management', u'Technical Training', u'Database Design', u'Business Process', u'Quality Control', u'Network Support', u'Disaster Recovery Planning', u'Microsoft Windows 2000', u'Microsoft Office 97', u'Microsoft Windows 98', u'Sales Support', u'Purchasing', u'Technical Support', u'Online Research', u'Call Center', u'Dispatching', u'Programming', u'C + +']",20
20,"[u'Diploma in Investment Analysis and Portfolio Analysis', u'ITIL Foundation', u'Sun Certified Programmer, Std Edition 6.0', u'Programming In Java (5 Days)', u'12:    Bsc Information Technology (Business Comput', u'Cobol Fast Track Course (5 Days)', u'Matric Exemption']","[u'Accenture', u'Department of Computer Scince(Uct)', u'Devstream / Tradestream - AN RMB Initiative', u'Falcorp Technologies', u'FNB', u'Gijima AST', u'Standard Bank', u'University of Cape Town', u'Veneka']","[u'Developer', u'Analyst Programmer', u'Analyst', u'Team Lead']","[u'Technical Consultant', u'Software Engineer', u'Analyst Programmer', u'Trainee Programmer', u'Computer Science Course Tutor', u'Computer Science Course Tutor Java Course']",Production Team lead,"[u'Java Developer', u'Developer']","[u'SVN', u'.NET', u'SQL', u'Cobol', u'jcl', u'Java', u'Linux', u'Jruby', u'C#', u'Cics']",21
21,[u'Bsc Elec Eng (Telecom)'],"[u'Lithotech', u'Prism']",[u'Electrical Engineer in Telecommunications'],[],Embedded Software Developer,[u'Research & Development'],"[u'Java', u'C++', u'3g/Hspa/Hspa+', u'Matlab', u'4g/Lte/Wimax', u'Project Management', u'Verilog', u'Vhdl', u'Process Design']",22
22,"[u'Certficate', u'Bachelor Of Technology : Chemical Engineering']","[u'Izazi Solutions', u'South African Port Operations', u'Toyota Motor Coparation']",[],[],ABAP Consultant,"[u'ABAP Consultant', u'ABAP Developer']",[u'Abap Development Design And Analysis'],23
23,"[u'Marketing Management', u'Veterinary Nursing - University Diploma', u'Matric - Passed with university exemption']","[u'Animal Anti-Cruelty League', u'Cape Veterinary Hospital', u'Charlene Hall Photography', u'Educat Publishers & Future 4 Kids', u'Farmkor Durbanville Diet Clinic', u'Intervet SA (Pty) Ltd', u'Kyron Laboratories', u'Lux Verbi Publishing', u'M.E.S. (Mould Empower Serve)', u""PDSA (People's Dispensary for Sick Animals)"", u'Total Veterinary Supplies (Heyns Matthew)', u'Various different veterinary practices']","[u'Sales Representative', u'Sales Consultant', u'Public Relations Officer', u'Account Executive', u'Key Account Manager', u'Practice Manager', u'Clinic Manager', u'Manager']","[u'Photographer', u'Sales & Marketing Representative', u'Locum nursing positions', u'Fundraising Coordinator', u'Fundraiser & PRO', u'Veterinary Nurse', u'Sales Representative and Area Supervisor Western Cape', u'Sales Representative Western Cape', u'Telesales Clerk', u'Locum positions']",Clinic Manageress,"[u'Agent', u'Resource Developer (Public Relations Officer and Fundraiser)']","[u'Pharmaceutical', u'Practice Management', u'Clinic Management', u'Public Relations', u'Marketing', u'Key Account Management', u'Sales', u'Veterinary', u'Dietician', u'Account management']",24
24,"[u'Togaf Cerfified', u'Management, Project Management', u'Compass Development', u'Oracle Designer', u'Oracle Database Administration', u'Oracle Developer', u'Oracle Pl/Sql', u'Advanced Oracle Pl/Sql', u'Unix Administration', u'Computer Programming', u'High School Education']","[u'Alexander Forbes (Technology Division)', u'Bytes Technology Group', u'Mcgregor BFA', u'Q Data Dynamique', u'South African Air Force', u'South African Revenue Service (SARS)', u'Sungard Insurance Systems']",[u'Executive/enterprise architecture'],"[u'Solutions Architect', u'Director New Development Software', u'Senior Developer R&D', u'Software Developer']",Senior Manager Database Management,"[u'Software Architect', u'Team Development Manager Technical Specialist']","[u'Presentation Skills', u'Microsoft Sql Server', u'Taxation, Financial,Equity,Insurance,Pension/Provident Sys', u'Management', u'Visual Basic For Applications (Office Automation)', u'Visual Basic (Ver 2 Through .Net)', u'Systems Integration', u'Systems Design', u'Systems Analysis', u'Resource Planning', u'Project Management', u'Microsoft Sql Server T-Sql', u'Architectures - Ntier, Client Server Etc', u'Business Analysis', u'Development (Overall)', u'Asp Web Development', u'Architectures - Legacy Mainframe Etc', u'Windows Workstation, Servers', u'C# .Net', u'Ibm Db2', u'Asp.Net', u'Architectures - .Net Framework', u'Microsoft Sna/Host Integration Server', u'Microsoft Biztalk Server', u'Oracle Rdbms', u'Microfocus Cobol', u'Oracle Pl/Sql', u'Product Quality Assurance', u'Human Resource And Payroll Systems', u'Microfocus Dialogue Systems', u'Oracle', u'Oracle Pro/Cobol', u'Oracle Developer 2000', u'As/400 Os', u'Dec Vax Openvms', u'Microsoft Visual C++', u'Java Programming', u'Assembler', u'Oracle Designer 2000', u'Linux']",25
25,"[u'Bcom (Information Systems) Incomplete', u'Microsoft Certified Application Developer .NET', u'Object Oriented Analysis And Design']","[u'Bluegrass Technologies', u'Eduflex.Com', u'Global Vision Information Technology', u'Mweb']",[],[u'Programmer'],Developer,"[u'Internet Developer Web Applications Developer', u'Internet Developer']","[u'CSS', u'Xhtml', u'Asp.Net', u'XML', u'C#', u'ASP', u'SQL', u'XSL', u'Javascript', u'Ajax', u'Vb.Net']",26
26,[u'B.ENG'],[u'Sterling'],"[u'support', u'c#', u'sql', u'software']",[],Software Developer C#.NET,[],"[u'BIZTALK', u'C#', u'CUSTOMER SERVICE', u'BI', u'SSIS', u'MVC', u'SQL', u'SSRS']",27
27,"[u'Project Management', u'Java Developer', u'N.Dip: Engineer']","[u'Absa', u'ABSA', u'Absa Bank', u'ABSA Group', u'Barclays Africa', u'Grintek Telecoms', u'Momentum']","[u'Technical Manager', u'Voice Specialist', u'Intermediate Java Developer', u'IVR Developer', u'Voice', u'Telecommunication']","[u'Voice Specialist', u'System Developer', u'Voice Specialist', u'Junior Field Engineer']",Voice Biometrics,"[u'Java Developer', u'Manager']","[u'IVR', u'Nuance Product', u'java', u'communication skills', u'Voice Loggers', u'Manager', u'Avaya PABX', u'Specialist', u'Technical Support', u'Voice', u'Voice Biometrics', u'Avaya', u'Voice Specialist', u'NICE', u'Managerial', u'Nuance Voice Products', u'Software Design', u'Java']",28
28,[u'Nc Multimedia'],"[u'Coca-Cola', u'(Coca-Cola) Peninsula Beverages', u'El Shaddia Promotions', u'Pres LES', u'TCC']","[u'Sales Manager', u'Area Manager', u'Key Account Manager', u'Regional Sales Manager', u'Sales representative']","[u'Account Developer Still Beverages', u'Brand Abassador Supervisor']",Sales Manager,"[u'Promotions Coordinator', u'FMCG Sales Representative']","[u'MS word', u'Power point and MS Excell', u'MS PROJECTS', u'Communication', u'Interpersonal', u'Managerial', u'Photoshop', u'Telephonic Skills and leader ship skills']",29
29,"[u'Hons Bsc It', u'Bsc It', u'Matric']","[u'Comcorp Online', u'Entelect', u'Hewlett Packard', u'Hollard Insurance', u'Nedbank']","[u'Software Developer', u'.NET Developer', u'Team Lead', u'Solutions Architect', u'Senior Software Engineer']","[u'Computer Operations and Card Monitoring Clerk', u'Promotional Sales Marketing and Demonstrations']",Solutions Architect,"[u'Team Lead', u'Software Developer']","[u'Product Owner', u'solutions architect', u'Team Lead', u'sql', u'asp .NET winforms', u'.NET', u'leadership', u'analysis', u'architect', u'Scrum Master', u'Sql Server Reporting Services', u'Sql Server 2005', u'Asp.Net Webforms', u'Asp.Net Mvc', u'Wcf Services', u'Sql', u'Windows Services', u'SSIS', u'WCF', u'SOA', u'SSRS', u'SOAP', u'Sql Server Integration Services', u'C#', u'windows forms']",30
30,"[u'B Com Hr', u'Certificate In Wealth Management', u'Senior Certificate']","[u'ABSA Brokers', u'Financial Management International', u'Liberty Life', u'Old Mutual Life Assurance', u'Professional Provident Society', u'Revolve Personal Advisors', u'Standard Bank']","[u'Human resource manager', u'human resource assistant', u'Administrator', u'Operations Manager', u'Financial Planner', u'Sales Manager', u'human resource assistant', u'Administrator']","[u'Financial Adviser', u'Financial Adviser', u'Learner Broker', u'Senior Business Developer', u'Administrative Assistant']",Personal Financial Adviser,"[u'Member Consultant', u'Sales Agent']","[u'Needs Analysis', u'financial advice', u'customer services.', u'Internet', u'Front Office', u'spotlight', u'xplan', u'Microsoft Office ( Word, Excel, Powerpoint)', u'Various Insurance Companies Quotes Packages', u'Spotlight', u'Blueprint Online', u'Proplanner (Lifeplan)']",31
31,[u'B.Com Economics'],"[u'Edcon', u'Edcon (Edgars)', u'J.V. Coll', u'Liberty', u'Old Mutual', u'Sanlam']",[u'management'],"[u'Financial Adviser', u'Department Manager', u'Operation Management Development Programme Trainee', u'Call Centre Agent Debt Collector']",Business Developer,"[u'Area Sales Manager', u'Relationship Manager']","[u'Mentoring', u'Presenting.', u'Team Building', u'Customer Service', u'Communication Skills', u'Analytical Skills', u'Marketing', u'Computer Skills']",32
32,"[u'Attended Leadership Development Program (Nqf 5)', u'2nd Year Bsc', u'Post Graduate Diploma In Theology', u'Bachelor Of Divinity', u'BA Degree', u'Matric']","[u'Constraint Technologies International', u'Digital Healthcare Solutions', u'Digital Healthcare Solutions (Qedi & Mediswitch)', u'Digital Healthcare Switch', u'Fujitsu Services', u'NG Church Goedvertrou', u'NG Church Mafikeng', u'NG Church Vaalpark', u'University of Pretoria']",[u'Software Developer'],"[u'Team Leader Analyst Programmer', u'Principal Software Developer', u'Developer Consultant', u'Minister and Freelance Software Developer', u'Minister and Freelance Software Developer', u'Minister', u'Senior Computer Operator', u'Student Computer Operator']",Software Development Specialist,"[u'Software Development Specialist', u'Software Development Specialist']","[u'IATA messaging and SSIM formats', u'C++', u'Chairing Meetings', u'Motivational Skills', u'Crystal Report Writer 5, 8.5', u'Visual Basic 6 And Other Versions', u""Xml (Dtd'S, Schema'S)"", u'HTML', u'PHP', u'Oracle 7/8/9/10g/11g', u'Soap development', u'Budgets', u'Accounting Up To Balance Sheet', u'Unix (Sun Solaris)', u'Facilitating', u'Cobol', u'Javascript', u'Windows 10', u'Linux (fedora/ubuntu)', u'UML']",33
33,"[u'PROJECT MANAGEMENT PROFFESIONAL', u'Cobit5 Framework', u'Sharepoint Server 2013 Advance Solutions', u'Asp .NET 4.5 Mvc Web Applications', u'Sharepoint Server 2013 Core Solutions', u'Html5 With Javascript & Css3', u'Project Management In It Environment', u'Bsc Computer Science And Statistics', u'Grade 12']","[u'Absa', u'Mpilonhle', u'Nedbank', u'South African Revenue Service (SARS)', u'Umhlathuze Municipality']","[u'Business Analyst', u'IT Project Manager', u'Database Administrator']","[u'Cyber Cardet', u'Information Technology Coordinator']",Application Development Manager,"[u'Alchemy Senior Developer and MI Analyst', u'Web Developer']","[u'Cobit 5 Certificartion', u'SharePoint', u'MVC', u'CSS3', u'ASP.Net', u'Sharepoint', u'HTML5', u'Asp.Net', u'Css 3', u'Html 5', u'Business Analysis(Requrement Developing Functional Specifications Documents)', u'SQL', u'C#', u'Project Management', u'Visual Studio 2008,20010,2012', u'Qlikview', u'Asp.Net 4.5 Mvc']",34
34,"[u'system development level 5', u'national diploma in information technology (communication networks)']","[u'communex technologies', u'i1 Solutions', u'momentum']",[u'software developer'],[],websphere administrator,"[u'Java developer', u'application developer']","[u'Java EE (restful APIS)', u'java and C#.', u'Microsoft office advanced word', u'DB2', u'ionic framework', u'GIT', u'mySQL', u'firebase', u'python', u'2 and 4', u""Java EE (restful API's)"", u'excel', u'angular 1', u'html', u'Linux', u'PowerPoint and outlook. \r\nProgramming lalanguages:vb .NET', u'css', u'IT electronic :assembler language and networks']",35
35,"[u'MSc. Information Systems Management', u'Itil Foundation V3', u'System Architect Certification', u'Togaf 8 Certified', u'Oracle Certified Professional', u'Systems Analysis And Programming', u'Bsc Electronic Engineering (Incomplete)', u'Senior Certificate']","[u'Accenture, Edcon Project', u'Alexander Forbes Technology', u'ICT Works', u'Iocore', u'Liberty Life', u'Standard Bank', u'Tangram', u'T-Systems']","[u'CIO', u'Head of IT', u'Chief Architect', u'Architect', u'IT Specialist']","[u'Group Strategist Business Architect', u'Enterprise Architect', u'Independent Consultant', u'Oracle Consultant', u'Reports Developer', u'Consultant']",Head of Information Systems,"[u'Account Chief Technology Officer SNR Solution Architect', u'Manager Enterprise Architecture']","[u'Data', u'data science', u'Governance', u'forensics', u'architecture', u'analytics', u'strategic', u'Leadership']",36
36,"[u'Marketing', u'Business administration and management', u'Assessors', u'Profibus networks', u'instruments', u'Science']","[u'Proconics', u'sasol', u'Sasol,Sasol']",[u'Learning and Development Manager or Lead HMI Engineer'],[],Senior Technical Trainer,"[u'Senior training officer', u'Software Developer']","[u'managing automation college Africa', u'training', u'instrumentation', u'sales and client relations', u'software', u'HMI engineer', u'automation trainer', u'client skills', u'sales and training\n\nPeople skills\n\nAlways getting the best out of people', u'Sales\nMarketing \nResearch and development\nPeople development']",37
37,"[u'bsc computer science honours', u'bsc computer science']","[u'ABM properties', u'Littlepig computing consulting', u'Makana app factory', u'Soveriegn foods uitenhage', u'university of Fort Hare']","[u'software engineer', u'java developer', u'SQL']","[u'Android application development intern', u'tutor']",software developer intern,"[u'SQL developer intern', u'graphic design intern']","[u'SQL database design and development', u'networking', u'software engineering', u'css', u'bootstrap and jquery', u'android programming', u'proficient in Linux systems such as Ubuntu and Fedora', u'java', u'Microsoft office', u'C++', u'Javascript', u'jquery and css', u'Javascript and bootstrap', u'Computer networking', u'java programming', u'html', u'SQL', u'Basic Android programming', u'C#', u'database design and managment']",38
38,[u'Senior Certificate'],"[u'Delco', u'UIF', u'Youi Australia']",[u'Business Developer/Sales/Marketing'],[],Business Developer,"[u'Sales Adviser', u'S Grade Iii Senior Admin Clerk Senior Administration']","[u'Sales', u'Sales and Marketing', u'A dedication to customer service', u'Empathy with their client', u'Long-term relationship-building skills', u'In-depth knowledge of the market']",39
39,[u'Cobol Programming'],"[u'In-Depth Data', u'Mineworx International']",[],[],Developer,[u'Developer'],"[u'Vbscript', u'ASP', u'IIS', u'Javascript', u'Microsoft Access', u'SQL', u'VB', u'.Net', u'Web Services', u'XML']",40
40,"[u'Strategic & Tactical Sales', u'New Business Development', u'Entrepreneurship & Business Management', u'Major Account Sales Strategy', u'Business Negotiation', u'Consultative Selling (Spin)', u'Small Business Accounting', u'Entrepreneurship &Small Business Management', u'Law & Finance']","[u'Edata', u'Ideal Hardware PLC (Now Bell Microproducts)', u'Ince', u'James Franklin Industrial Property Brokers', u'Malt Whisky to Mexico', u'RMBT (Now Marriott Merchant Bank)']",[],"[u'Owner', u'Partner', u'Commercial & Industrial Property Broker']",Head of Sales,"[u'New Business Developer', u'Account Manager']","[u'All Microsoft Office Products', u'Goldmine']",41
41,"[u'Bachelor Of Arts: Communication Science', u'Certified Internet Webmaster (Ciw)', u'Web Developer', u'Matric']","[u'ABSA Bank', u'Apron Services', u'Bytes Technology Group (Outsourced by Saica)', u'DHL International', u'Fashion World', u'Jabula Supermarket', u'Quest', u'Saica', u'Standard Bank']","[u'Communication Manager', u'Senior Manager', u'Head of Communications', u'Content Manager', u'Communication Manager']","[u'Editor E-Communications', u'Member Communications Co-Ordinator', u'Web Designer Developer', u'Electronic Information Officer', u'IT Coordinator', u'Personal Assistant to the SAICA Board', u'Regional Personal Assistant', u'Personal Assistant', u'Personal Assistant', u'Cashier', u'Sales Assistant']",CIB Global Communications Manager,"[u'Online Communication Manager', u'Centre of Excellence Manager']","[u'Content Management', u'Online Communication', u'Social Media', u'Strategy', u'Crisis Management', u'Business Intelligence', u'Project', u'Business Communications', u'Brand And Reputation Management', u'Customer Relations', u'Project Management', u'Corporate Communications', u'Strategic Thinking And Planning: Internal Comms', u'Writing For Online And Printed Inhouse Publication', u'Online Advertising', u'Leadership', u'Budgeting']",42
42,"[u'B Soc Sci (Information Technology)', u'Dip It (Programming)', u'Senior Certificate']","[u'Derivco', u'Independent Systems', u'Land Resources International', u'Leads 2 Business']","[u'Web Developer', u'ASP.NET Developer', u'C# Developer']",[u'Junior Software Developer'],Web Developer,"[u'Intermediate Web Developer', u'Software Developer']","[u'Asp.Net Mvc', u'Java', u'ASP', u'VB', u'C#', u'Asp.Net', u'Jquery', u'nunit', u'xunit', u'Php']",43
43,"[u'Bachelors Degree', u'Certificate']","[u'Pottershouse', u'UAC', u'Witveld IT Solutions']",[],[],Senior Programmer Database Administrator,"[u'Senior .NET Developer', u'Senior Programmer']","[u'Networking', u'Html', u'Jquery', u'Java', u'C#', u'C++', u'Javascript', u'VB.Net', u'.Net Developer', u'System Administartor']",44
44,[u'B.Tech: Information Technology'],"[u'Alacrity', u'Sebrio Consulting']","[u'IT Support', u'database administration', u'junior java developer', u'junior tester', u'data analyst', u'business intelligence analyst']",[],Java developer intern,[u'Junior Cach\xe8 developer'],"[u'Microsoft office', u'team and individual player', u'Java', u'tomcat', u'REST', u'SQL', u'jpa', u'maven and db2', u'hibernate']",45
45,"[u'CBAP', u'Ctt+ Qualification', u'Project Management Certification', u'Certiffcation', u'Certification', u'Microsoft Certified Technology Specialist', u'Csharp Certification', u'Borland Delphi Oop Certicate', u'Crystal Reports', u'Delphi 6 Certification', u'Delphi 8 Introduction', u'B Tech Computer Systems', u'It Management / Fucntional Management', u'Pic Micro Controllers']","[u'Apbco', u'Esteq', u'Exponant, Centurion', u'Guardrisk', u'Marion', u'Standard Bank', u'Wesbank Head Office']","[u'Business Analyst', u'Project Manager', u'Business Developer', u'Project Manager', u'Business Developer']","[u'Senior Business Systems Analyst', u'Business Analyst', u'Dev Coordinator Project Manager Business Developer', u'Lead Developer Project Analyst', u'Programmer Developer Analyst']",Manager,"[u'Director Business Consulting', u'Senior Business Analyst']","[u'business analysis', u'business analysi', u'CBAP', u'Programming', u'Sql Database', u'Delphi', u'Business Analysis', u'Development', u'Project Management', u'System Analysis', u'Communication', u'Architecture Tools - Uml Bpm Soa Babok Ect.', u'Itk Development', u'Sharepoint', u'It Functional Management']",46
46,[u'Bsc (Hons) Computer Science'],"[u'Appcore', u'Izonehub', u'Multipay', u'Real People']","[u'BI Developer', u'Business Analyst', u'SQL Developer', u'SSIS']",[u'Analyst Developer'],Consultant,"[u'Consultant', u'Project Manager']","[u'SSIS', u'MVC', u'SSAS', u'MS SQL Server Data Tools', u'MS Visio', u'EXCEL', u'C#', u'SQL', u'github', u'Javascript', u'heroku', u'html5', u'bootstrap', u'java', u'Ruby on rails']",47
47,[u'Alberton Ho\xebrskool'],"[u'Duraset', u'Proactive Insight']",[],[],Wage Administrator,[u'Data Base Developer'],"[u'Microsoft Excel', u'Microsoft Office', u'Payday', u'Power Point', u'Naivision']",48
48,[u'Diploma'],"[u'Cryptodyne Private', u'Globe Computer Systems', u'Media Solutions Private', u'Unilink International Private']",[],[u'Software Developer'],Product Manager Team Leader Senior Software En,"[u'Team Leader Senior Software Engineer', u'Senior Software Developer']","[u'Develop & Design Software With Microsoft Vb', u'Microsoft Office Applications', u'Opearting Systems', u'Html, Xml', u'Design Database With Mssql 2000', u'Develop Web Pages With Asp', u'Java Script', u'Develop & Design Software With Microsoft Vc++', u'Windows 2000/2003 Servers', u'Develop Installations With Installshield']",49
49,[u'B.Sc(Computers)'],[u'soulstice software solutions'],"[u'Java Developer', u'Intermediate Java Developer', u'Senior Java Developer']",[],Intermediate Java Developer,[],"[u'angularjs', u'jquery', u'ejb', u'webservices', u'mysql', u'javamail', u'css', u'html5', u'java', u'java script', u'jms', u'j2ee', u'hibernate', u'struts', u'jpa', u'spring', u'web services']",50
