,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
197,"[u'IBM WebSphere Message Broker Version 8 Solution', u'Oracle Certified Associate: Java Se 7', u'Ccna : Network Fundamentals', u'B- Tech: Information Technology', u'Information Technology', u'A+', u'Senior Certificate']","[u'Telkom', u'The National Consumer Tribunal', u'TSC Technologies', u'Vicitude Business Solutions']",[u'Java Developer'],[u'Contract Administrator'],Application Support Specialist (Developer),"[u'Java Developer', u'Jumpstart Labs Java Developer Learnership']","[u'Team Player', u'Good Communicator', u'Matured', u'Self-Driven', u'Good Professional Etiquette', u'Submits to Authority', u'Mule ESB', u'Sonic ESB', u'Spring Framework', u'Web Servives', u'Maven', u'JMS', u'SOA', u'Visual Basic.Net', u'Java', u'Windows 8', u'Windows XP', u'Libre Desktop', u'UML Diagrams', u'JUnit', u'Windows 7', u'ERD Diagrams', u'MS Office', u'Oracle 10g', u'C#', u'SDLC(Agile Methodologies)', u'SDLC(Unified Process)', u'Scala', u'Functional Programming', u'PL/SQL', u'MySQL', u'Oracle 11g']",198
198,"[u'Certified Kanban Coach', u'PSM1', u'SPS - Scaled Professional Scrum', u'Prince2 Practitioner', u'Masters of Management (Information Technology - Software Development)', u'B.Sc (Hons) Computer Science', u'B.Sc. Computer Science']","[u'Ansys', u'Kinship Enterprise', u'SDT Financial Software Solutions']",[u'Scrum Master'],[],Scrum Master,"[u'Solution Architect', u'Software Developer']","[u'CSM', u'Scaled Professional Scrum', u'Kanban', u'IIS', u'PSM', u'Asp.Net', u'SPS', u'SQL', u'.Net', u'Visual Studio', u'Kanban Certified Coach', u'Certified Scrum Master', u'JavaScript', u'Software Development', u'Professional Scrum Master']",199
199,"[u'Oracle Certified Professional (Ocp 9i)', u'Matric']","[u'Business Connexion', u'Faritec Holdings -Ibm Hospital Project', u'Fusion-Ics', u'Ricoh UK', u'Shazam Intertainment', u'Stortech']","[u'Sr. Oracle DBA / Team Lead', u'Oracle DBA Manager', u'Oracle DBA Manager']","[u'Oracle DBA', u'Junior Operations Manager', u'District Service Manager']",SR. Oracle DBA PL Sql-Developer,"[u'Senior Oracle DBA Oracle Application Server DBA', u'Senior Oracle DBA']","[u'Rman Backup & Recovery', u'Toad', u'Oracle Database Administrator 8i/9i/10g/11g', u'Oracle Sql And Plsql', u'Oracle Database Migrations', u'Oracle Sql Loader', u'Oracle Db Performance Tuning (Statspack, Addm Etc)', u'Linux/Unix Shell Scripting', u'Oracle Datapump, Export/Import', u'Oracle Enterprise Manager 9i & 10g', u'Plsql Developer', u'Microsoft Windows Xp/Vista/7', u'Windows Microsoft Office', u'Cvs (Tortoise)', u'Red Hat Linux Administration', u'Oracle Auditing', u'Oracle Change Data Control (Cdc)', u'Oracle Data Guard', u'Oracle Enteprise Manager Grid', u'Alpha Tru-64, Hp-Ux Administration', u'Project Management From An Oracle Perspective', u'Qlikview Designer', u'Oracle Database Appliance', u'Vmware', u'Qlikview Developer', u'Oracle Snapshot Replication', u'Oracle Advanced Multi-Master Replication', u'Oracle Application Server 10g Administration', u'Oracle Text', u'Oracle Streams', u'Sql Navigator', u'Sql Server Administration']",200
200,"[u'ISEB/ISTQB Intermediate Certificate', u'Isseb/Istqb Foundation Certificate', u'Quicktest Professional', u'Hp Quality Centre', u'Loadrunner', u'Test Team Build (Ttb)', u'Oracle Software Developer', u'Degree (Bachelor Business Systems) - It']","[u'ABSA Bank', u'Dake Solutions', u'First National Bank', u'First National Bank Hogan Tech', u'Hogan Technologies', u'Micro to Mainframe', u'Multichoice', u'Oracle University Campus', u'Wesbank']","[u'Test Automation Specialist', u'Technical Tester', u'Tool Support', u'Technical Tester', u'Tool Support']","[u'Test Automation Specialist', u'Test Autmation Specialist', u'Test Automation Engineer', u'QA Tester', u'.NET Developer', u'Oracle Software Developer']",Automation Specialist,"[u'System Administration', u'Test Manager']","[u'QTP', u'ALM', u'UFT', u'Quality Centre (Testdirector)', u'Quicktest Professional', u'Functional Testing', u'Oracle', u'Verification & Validation', u'MS SQL', u'Vusual Studio.Net', u'Perfomance Center', u'Software Development', u'Python', u'Selenium', u'XML']",201
201,"[u'Java Programmer', u'Senior Certificate']","[u'Chg-Software', u'Genussoft']",[u'Developer'],[],Senior Analyst Developer,[u'Director Developer'],"[u'Delphi Development', u'Object Orientation Development', u'Rendering Engines', u'Opengl', u'3dmax Studio Modeling (Including Maxscript)', u'Database Development', u'Android Development', u'C++', u'Sql Language', u'Directx 6.0 - 9.0 Develoment', u'Java Language (Sun Microsystems J2ee Diploma)']",202
202,"[u'Ado.Net + Database Design', u'Sql Server 2000 + T-Sql', u'Introduction To Vb.Net', u'Cobol Programming', u'N4 + N5 Computer Stry 84%']","[u'Shoprite/Checkers', u'Spotlight Interactive', u'Talking Shop']",[],[],Developer,"[u'Analyst Programmer', u'SQL DBA']","[u'Microsoft Office', u'Windows 98,Xp,Vista', u'Java Script', u'Cobol/Flexgen', u'Sql Server 2000 - 2008', u'Final Builder', u'Installshield', u'vb6', u'Vb.Net', u'Sourcesafe', u'Ado.Net + Database Design']",203
203,"[u'Foundation Peak Performance Programme', u'ITIL V3 Foundations', u'Information Technology Programming', u'Grade 12']","[u'Discovery Health', u'PetalTheory Media+Technology']","[u'Analyst', u'Business Analyst', u'BI Analyst', u'Web Developer']",[u'Junior Web Developer'],Problem Analyst,"[u'Query Analyst', u'Service Desk Agent']","[u'Problem Analysis', u'Proactive Problem Management', u'Trend Analysis', u'including but not limited to: recreating the issues in a test environment', u'knowledge Management', u'Reporting', u'Root Cause Anaysis', u'Programming Logic And Design', u'It Project Management', u'Review a business/ technical specification prior to development and identify any potential problems that could be created with the proposed solution', u'Identify any missed requirments']",204
204,"[u'Certificate', u'Pharmacist Assistant', u'Matric']","[u'Academy One Pty Ltd', u'North West University', u'Zao Ministries (PBO)']","[u'Learning Coordinator', u'Learning and Development Manager']",[],Office Manager,"[u'Head of online training', u'Short Course Manager and Programme Developer']","[u'Procurement', u'Client liaison', u'Financial Management \u2022', u'Negotiating', u'Business Management', u'Professional Bodies', u'Course and training administration', u'Management skills', u'Education management', u'Registration of courses', u'Learning Management System', u'Strategic Thinking', u'Identify skills shortage', u'Student administration', u'Problem Solving', u'Microsoft Office', u'Project Management', u'Event management', u'Marketing', u'Internet and e-mail', u'IT']",205
205,"[u'PHP Engineer', u'Information Technology', u'Matriculation With Exemption']","[u'Derivco', u'Ignition Group', u'Junk Mail Publishing Group', u'Kaitech']","[u'Software Developer', u'Programmer']",[u'ASP Developer'],Software Developer,"[u'PHP Developer', u'Software Developer']","[u'AJAX', u'JSON', u'Javascript', u'PHP', u'SQL', u'MS ADO', u'MySQL', u'jQuery', u'Classic ASP', u'Apache Solr', u'SVN', u'Laravel', u'SOAP Web Services', u'Code Ignitor', u'REST Web Services', u'Slim Framework (REST API)', u'GIT', u'NodeJS', u'Selenium', u'Linux', u'MongoDB', u'CouchDB', u'EmberJS']",206
206,"[u'SAP Abap Certified', u'Bsc Computer Science And Statistics']","[u'Commercezone', u'MR Price Home Trading Store', u'University of Limpopo(School of Math & Cosc)']",[u'Information technology'],[],SAP ABAP Developer,"[u'Lab Assistance', u'Shop Assistant']","[u'sap workflow', u'smartforms', u'erp', u'abap', u'web dynpro', u'css3', u'C++', u'Java', u'Assembley Language', u'C#']",207
